title,uuid,tags,links,last_mod_dt,word_count
Developing strength,['201902251152'],['#dzogchen'],"['[[201902251152]]', '[[201901301240]]', '[[202010292008]]']",Fri Nov 24 19:46:44 2023,161
Binary Bias,['202106120843'],"['#mind-science', '#biases']","['[[202106120843]]', '[[202105131452]]', '[[202003040704]]', '[[202109220803]]', '[[201912041709]]', '[[201912041713]]', '[[201912041725]]']",Thu Mar 14 14:39:04 2024,135
B-Illuminations: Essays and Reflections,['202301182132'],"['#book', '#beautiful-language', '#writing', '#beautiful-language', '#beautiful-language', '#definition']","['[[202301182132]]', '[[202208082023]]', '[[202303020907]]', '[[202206072052]]', '[[202303042018]]', '[[202303231020]]', '[[202111142119]]', '[[201904121010]]', '[[202210181211]]']",Wed Dec 27 19:58:06 2023,693
Switching from onboard,['202307080633'],['#writing-tip'],"['[[202307080633]]', '[[202305170618]]', '[[202110021647]]']",Tue Jul 18 05:18:58 2023,115
Interstitially awake,['201903301312'],['#zen'],"['[[201904271120]]', '[[201904271127]]', '[[201903301312]]', '[[201903081523]]', '[[201902120605]]', '[[201903050446]]', '[[201905310722]]', '[[202106260623]]']",Fri Nov 24 19:46:44 2023,172
The Act Of Painting,['202110141058'],"['#ART111', '#thinking']","['[[202110141058]]', '[[202107261132]]']",Wed Dec 27 19:58:06 2023,86
Integrating ZM into daily practice,['201812161318'],['#zettelkasting'],"['[[201812161318]]', '[[201812161327]]', '[[201901181109]]']",Fri Nov 24 19:46:44 2023,55
Use Spiderwebs To Augment Thinking,['202106271726'],"['#zettelkasting', '#note-taking', '#mind-science']","['[[202106271726]]', '[[201903011645]]']",Fri Feb 03 09:09:30 2023,139
Mind is unreliable,['201811111615'],"['#blog-post', '#thinking-skills']","['[[201811111615]]', '[[202108182015]]', '[[201811111610]]', '[[201812250858]]', '[[201901061828]]', '[[201811151032]]', '[[201905290713]]', '[[202106301921]]']",Fri Feb 03 09:09:30 2023,233
Process And Create New Ideas,['202103111214'],"['#note-taking', '#zettelkasting', '#forum-post']","['[[202103111214]]', '[[202406170831]]', '[[202103112005]]', '[[202211280858]]', '[[202205260705]]', '[[202310152145]]', '[[201901211034]]', '[[202008222000]]', '[[202208111559]]', '[[202008300702]]', '[[202103260846]]', '[[202105200607]]', '[[202211060904]]', '[[202106301943]]', '[[202205250813]]', '[[202108062028]]']",Mon Jun 17 09:12:03 2024,690
Repeat sentences for impact,['202210072001'],"['#article', '#writing-tip', '#persuasion', '#call-to-action']","['[[202210072001]]', '[[202210072027]]', '[[202210072107]]', '[[202210091138]]', '[[202403270759]]', '[[202001230749]]']",Thu Mar 28 10:23:06 2024,348
John Cage's Experimental Music,['202307030751'],"['#music-composition', '#ZK_ChatGPT']","['[[202307030751]]', '[[202310051657]]', '[[202307240832]]', '[[202306210557]]', '[[202108210635]]', '[[202107261132]]']",Wed Dec 27 19:58:06 2023,278
The Dystopia We Fear Is Keeping Us From the Utopia We Deserve,['202302121749'],"['#science', '#environmental', '#energy-reserve', '#ZK_ChatGPT']","['[[202302121749]]', '[[202103070804]]', '[[202401311657]]', '[[202302162056]]', '[[202001101624]]', '[[202307282055]]', '[[202001031639]]']",Wed Jan 31 17:31:06 2024,449
Syllabus,['202004191800'],"['#writing', '#skill']","['[[202011220805]]', '[[202004191800]]', '[[201911261440]]', '[[202001301713]]', '[[202003160521]]', '[[202003291526]]', '[[202004191800]]']",Fri Nov 24 19:46:44 2023,248
Separation of Concerns of Concerns,['202002210512'],['#thinking-skills'],"['[[202002210512]]', '[[202002210514]]', '[[202002210518]]', '[[202002210520]]', '[[202002210522]]', '[[202402232046]]', '[[202002210523]]', '[[202002210524]]', '[[202002210525]]', '[[201902250629]]', '[[201811151032]]', '[[201903011645]]', '[[201812271440]]', '[[202009042049]]', '[[202009100558]]']",Tue Feb 27 20:16:50 2024,173
Attention Drainage Effect,['202203181644'],"['#mind-science', '#cognition']","['[[202203181644]]', '[[202203181638]]', '[[202203231932]]', '[[201904110510]]', '[[202106082050]]', '[[202205141503]]', '[[202203181948]]']",Wed Dec 27 20:17:20 2023,247
Ineffable effed,['201909241021'],['#thinking-skills'],"['[[201909241021]]', '[[202007050819]]']",Fri Nov 24 19:46:44 2023,87
» Hope And Fears Realized,['202011222026'],['#dzogchen'],"['[[202011222026]]', '[[202011170657]]', '[[201904300940]]', '[[202011052046]]', '[[202105040801]]']",Fri Nov 24 19:46:44 2023,159
Headings as Organizational Signals,['202204272058'],"['#writing', '#reading-strategies']","['[[202204272058]]', '[[202111142113]]', '[[202004210723]]', '[[202007050655]]', '[[202204301722]]', '[[202205152009]]']",Wed Dec 27 20:17:20 2023,254
Role of structure,['201906060645'],[],"['[[201906060645]]', '[[201901081224]]', '[[201812170939]]']",Fri Nov 24 19:46:44 2023,203
Cage channels Huang Po,['202306210557'],['#zen'],"['[[202306210557]]', '[[201905241507]]', '[[202007121919]]', '[[201903141853]]', '[[202208181949]]', '[[202112221423]]', '[[202307030751]]', '[[202107261132]]']",Wed Dec 27 19:58:06 2023,262
